Name,Platform,Total_reviews,Scraped_reviews,Quote,Score,Date,Author,Spoiler
Apex Legends,PC,590,500,"The overall gameplay and mechanics are pretty good, and it is free. The problem invariably is that, despite only being out for a week, there are already people who have played non-stop for that entire time, are masters of the game, and will kill you almost instantly no matter what you do. Without a way of separating the new players from the uber-elite, this game turns into the same boring monotony as other battle royale games.",4,2019-02-17,Vel,False
Hi-Fi Rush,Xbox Series X,1646,500,"What a cool surprise, basically Jet Set Radio meets Sunset Overdrive. Thank you Xbox for sweet little games like this one. The world need more games like this.",10,2023-01-26,aquamagnetic,False
Middle-earth: Shadow of War,PlayStation 4,478,478,"Gostei do jogo ele bem robusto, tem uma extensa área, árvore de progressão e gigante vários equipamentos e história com Plot fenomenal impossível não se divertir com os orcs",8,2024-02-28,MicGamerXD,False
Wolfenstein II: The New Colossus,PlayStation 4,325,325,"New Colossus does slightly falter with the story compared to The New Order, but it makes up for it with gameplay improvements, and a more ""Inglorious Basterds"" vibe. Add on one of the most underrated soundtracks, and being able to revisit old levels to find collectibles, and New Colossus makes the improvements to the first rebooted Wolfenstein.",8,2024-07-21,Igl00Man,False
Call of Duty: Black Ops 6,Xbox Series X,220,220,"Incredible single player campaign, robust multiplayer and great zombie mode. Runs well looks great,just a good game",10,2024-10-26,Posty567,False
ARK: Survival Evolved,PlayStation 4,148,148,"This game has a great setting, scope and actually offers some of the best (if not the best) experience for its genre, but also some of the most infuriating moments in gaming. Wildcard Devs clearly have good vision and ambition but its just never backed up a similar level of technical capability to deliver it.
On one hand it offers an unforgiving grinding survival experience which does feel rewarding when you achieve things, and any loss or setback is felt a lot. That would normally be fine and part of the challenge/attraction of the game, but at the same time the bugs and technical issue in the game will often lead to you losing many dozens of hours worth of progress/work randomly and on multiple occasions. On PvE you may constantly lose everything whilst not even playing the game which is infuriating.

PvP and PvE are completely different gaming experiences altogether, but both require an incredible level of continuous time investment (like having to log in daily or every couple of days and spent time just feeding the tamed animals!). You can't pick up and drop this game as you please unless you do single player, which is really not to anywhere near as interesting or rewarding. The game is really meant to be played with groups of people to get the most out of it.

All in all the game can be a great experience and is incredibly addictive, however due to the technical shortcomings, quality controls that have never been addressed, it will always be a good, but not great game, which is a shame to see.",4,2018-12-12,Widowmakernt,False
Red Dead Redemption 2,Xbox One,1241,500,"First time playing RDR and I must say, this is the best ever game I've ever played. Stunning graphics, amazing history, just a masterpiece!!",10,2018-10-26,rickmpr,False
Shenmue III,PlayStation 4,496,496,"After 35hrs in the game, I can confidently already say that this is the most polished, well-thought out Shenmue game there is in the series. If you liked the first two, I'd say you will be positively surprised the third installment is better than you expected. It is a more refined Shenmue experience, a rural Chinese  compact version of the first game, with interesting world and character building in it. Reviews are a strange thing, I enjoyed this game more than most of the metascore 85+ (both critics and user score) games in the last 20 years. Slow-down with Shenmue 3, the world is already too fast as it is.",10,2020-01-05,Sharp,False
Alan Wake II,PlayStation 5,746,500,Awesome picture in game!,10,2023-11-01,MetaLee,False
Resident Evil: Resistance,Xbox One,200,200,"The multiplayer is so original and feels so fresh from anything else I've played in a horror survival game online, ive been waiting years for Resident Evil to finally release multiplayer modes and boy wasn't it worth the wait 5/5.",10,2020-04-03,DiscoDan1983,False
Final Fantasy VII Remake,PlayStation 4,3373,500,"This could have been a good remake if it wasn't for Nomura's obsession with story changes that are on the level of bad Kingdom Hearts fanfiction. People mainly wanted to see FF7 with modern graphics and a freshened up combat system. No one asked for them to completely mess up the story, but that's what they did.

The gist:  If you're a fan of FF7 who loved that game, then you should find this remake to be an insult that ruins its story.",3,2020-04-10,TheVJ,False
The Darkness II,Xbox 360,62,62,"I was never a comic book person, then again Iâ",9,2012-03-18,GuruSharky,False
A Plague Tale: Innocence,PC,442,442,"juego fresco con grandes graficos y buena historia, disfrutable de principio a fin, y no pierde el ritmo, felicito a la desarrolladora por su gran trabajo, juego recomendado si quieres una nueva experiencia...",10,2019-11-08,weboloso,True
Need for Speed Payback,PC,146,146,hikaye o kadar da kötü değildi ve oynanış üresi de iyi ayrıca nfs 15 ten daha iyi mekanikleri vardı,7,2022-11-03,bar0yka,False
LittleBigPlanet,PlayStation 3,216,216,Fantastic platformer and a must play of the PS3. Tons of fun and couch co-op is great. A true classic.,9,2022-12-20,JrDouble,False
Dragon Ball Z: Kakarot,PlayStation 4,406,406,"Awesome Game of DBZ, AWESOME FOR HARDCORE FAN, Incredible music gameplay and graphics",10,2020-01-17,MukaSpider,False
Pikmin 4,Nintendo Switch,356,356,"With gorgeous graphics,great level design,good balancing of Pikmin types, excellent soundtrack and variety,Pikmin 4 has become my favorite Pikmin game by far , pop in are an expected issue but with such beautiful backgrounds and objects I don't really care",10,2023-07-22,Maddd,False
The Crew Motorfest,PlayStation 5,177,177,"The Crew Motorsport gave me another reason on why I dislike racing games. It's just so boring and is just like all the other racing games. The game looks beautiful, but it's just like every other racing game out there. If you have a Switch/Xbox/PC, I'd suggest you save 10 dollars and get MK8 Deluxe or Forza Horizon 5.",5,2023-09-17,gatorrade,False
The Callisto Protocol,PlayStation 5,773,500,"Gostei demais do jogo, gráficos excelentes, historia que prende, ótima imersão. Estou jogando no PC, com um pouco de instabilidade, mas rodando bem na maioria do tempo em 4K 120FPS.",10,2022-12-05,jonmax11021981,False
Beyond: Two Souls,PlayStation 3,611,500,"The game has a very interesting history but i cant say this is game,is a very large movie .The mecanics of the  ""game"" are very  poor ,also the combat.,its better see the gameplay on youtube instead buy it",3,2013-10-30,bioreview,False
Alice: Madness Returns,PC,192,192,"How I know that this game is good? I've played it again and again, and want more. It has great art design, awesome level design and combat, upgradable weapons, also memorable soundtrack and a lot of secrets and collectibles. On PC there is big bonus (when compared to consoles) in very nice Physx particles and 60 (or more) fps. It's cult classic that needs sequel, maybe someday, somehow, we'll see Alice Asylum.",9,2023-09-27,d4ntes,False
Ghost of Tsushima: Director's Cut,PlayStation 5,1048,500,"An excellent game made even excellenter.

Excellence exudes from the PS5 version of Ghost. It excels at excellence. It accelerates exuberant amounts of excellence.",10,2021-08-21,Ruabadfsh2,False
Chocobo GP,Nintendo Switch,74,74,"The tutorial in story mode is freaking annoying, i can't even play and always failed, because the game paused everytime the instruction pop up on screen.",2,2022-03-27,Killy565,False
Life is Strange: Before the Storm,PC,129,129,"Served his purpose answering the questions I asked myself about Chloe during the first game. 
This opus isn't as strong emotionally as the first game but I still really liked it overall.",7,2023-10-12,Animus_V0x,False
Call of Duty: Modern Warfare 3,Xbox 360,4360,500,"MW 3 follows along the same path that the Modern Warfare series has been following the last several years.  Lack of innovation in game play, graphics hardly improve over MW 2 (which are pretty poor now), and an extremely abbreviated / convoluted campaign (as usual), leaves me with the feeling that it's time to stop supporting this franchise.  Call of duty has been repackaged so many times that it entirely feels stale this time around.",2,2011-11-08,burnupthetrack,False
Watch Dogs,Xbox 360,83,83,"OK, this is NOT like GTA V. But leaving any comparisons aside, Watch Dogs is a great action open world game with a quite innovative script (hacking is a great element). It has many technical issues though (bugs, clippings etc) but this is quite frequent in the open world games. I personally like the weather effects (though raindrops should be less ... thick ... if you know what I mean) and I  hate the sea (the water's FX remind me of a PS2 game). I also hate the songs played on the radio so I always keep the radio off. But overall I really like this game since I'm a big fan of the open world genre. Forget about the PS4 version you see in YouTube, which is superior and consider this as a nice game for your X360's engine and go for it. Guys and girls that loved GTA series and Sleeping Dogs, will also love this one.",8,2014-11-21,Retroshowcase,False
Atomic Heart,PC,1122,500,"Mediocre game, with a terribly dumb plot. The main character is impenetrably stupid and the dialogues in the game are full of cringe and spermotoxicosis.",6,2023-02-24,Kiboune,False
Pokemon Legends: Arceus,Nintendo Switch,1434,500,"It's Breath of the Wild meets Pokemon, but with a bit of Monster Hunter mixed in.

And I love it! This is the closest we've been to an open-world Pokemon game that I've daydreamed about since I was a kid. Arceus delivers Pokemon Snap- levels of environmental immersion as a mainline RPG -- you will encounter pokemon walking/swimming/flying around in their natural habitats instead of randomly encountering something while blindly walking through tall grass. You can summon your own pokemon to gather berries, mine shards, and engage a wild pokemon all within a few steps without waiting for flow-stopping animations and transitions. It's truly like playing a simulation of the anime.

Issues that I had: Most bothersome to me might be the fact that you have to fast travel back to the hub city in order to go to the next zone (like Monster Hunter). It makes the world feel a lot smaller since it's just a bunch of disconnected environments instead of a huge continent. Also, no mounts at the hub city makes traveling a drag. Now for my minor issues. Some of the sound effects are clearly ripped from BotW, such as the male character sounding exactly like Link when he tucks and rolls. Maybe it was meant to be a callback, but personally I wish they didn't recycle assets like that. The graphics are also a little rough around the edges here and there. Some things like rocks and trees disappear if you slightly turn the camera. And the game sometimes draws pokemon at its max spawn distance, but animates them at like 2 FPS which makes them look bizarre against the more smooth and lively world closer to you. If the hardware is struggling to do this, just don't draw the pokemon that far!

Anyways, I'd give this a 8 out of 10. Rough around the edges in parts, but this is definitely a Pokemon formula I want them to polish and perfect. I don't think I'll be able to stomach the old style of pokemon games again. If Nintendo can somehow cram in a more modern setting with pokemon centers, cities, (etc) AND open world pokemon walking about onto the little Switch cartridge, it'd be absolutely perfect. It may be possible that the Switch may not have the horsepower to truly get to the next level, though.",8,2022-01-30,Brusky,False
Battlefield V,PC,1041,500,"Battlefield V, it's not a 10/10 game, not even an 8 or 9.

For one, the announcer and the whole UI layout feels and looks like Star Wars: Battlefront which is hilarious.

I personally LOVE how EA/DICE is making us pay $60 for a missing game mode they promised, Battle Royale (which we are getting 'next year' lol) and many features just missing. You can't customize your character in-game/server, groups/platoons don't exist and so many more features just lacking. What is this? An Early Access game on Steam? Why are we missing core features that the Battlefield series always had? Then you have weapons, they just feel ""squishy"" against enemies. It takes a full magazine to kill someone or if you use a sniper and shoot them straight at the chest it doesn't kill someone. Sometimes even a headshot won't kill a player instantly. The health idea in this game is just stupid. Why are there health packs on players? Battlefield is team orientated. Nope, not this Battlefield. You have health packs like Call of Duty now just to replenish your health. No need for teammates to go Medic for health or even Support for ammo. Can I also mention that DICE censors 'curse words' in-game text chat? Rated 'M' game and we can't call our own horrible team bad words because it may hurt them. Finally, sadly another year without Battlelog. Why? I want detailed statistics, no one wants that crap website companion or app.

Want to play this game? Play on 'Hardcore' servers created by the community. Official servers with DICE's own rule sets are trash.

Battlefield 4 is better and more balanced, Battlefield V is catering to more ""casual"" players. EA/DICE want that Call of Duty fan base too much rather than on just expanding on what Battlefield is and what they created from the start. You aren't missing out much if you don't play or buy this. If you really want it, wait for a sale. It will probably be like $30 by next year like Battlefield 1.

I bought every Battlefield game, played each one (ranging from Xbox 360, Xbox One and PC) and I have to say one thing. I personally would have liked to have Battlefield: Bad Company 3 this year or I would have rather taken Battlefield Hardline 2, instead we got Battlefield V. It could be such a fun game to play, but at the same time it's such a disappointing game.",7,2018-11-15,azgoodaz,False
South Park: The Fractured But Whole,PlayStation 4,150,150,"An und für sich witziges **** South Park Vibe wird super rüber gebracht. Man könnte denken, dass man eine Folge South Park schaut. Insgesamt ein wenig zu lang, da relativ wenig Abwechslung meiner Meinung nach im Spiel vorhanden ist. Trotz dessen 8 von 10 Punkten.",7,2024-01-31,Zeneko90,False
Final Fantasy XIV Online,PC,176,176,"Game doesn't deserve all the hate it is getting. The game plays nice and looks great. It is lacking in content, which is obviously going to be provided throughout the life of the game. I hated the keyboard/mouse controls from FFXI but am perfectly fine with them here. Takes a powerful computer to run. Has real potential.. but a lot of it is going to hang in the air until SE releases patches. It has more potential then any mmorpg I have seen released in the last 5 or so years.",10,2010-10-05,Jae,False
Sekiro: Shadows Die Twice,PC,950,500,Очередное дрочиво для садомазахистов. Ултрасложность убивает какой-либо интерес играть. Хотя любителям задрачивать каждого босса два часа к ряду изводя свои нервы - в самый раз.,0,2021-04-16,AlexDarwin,False
Crash Team Racing: Nitro-Fueled,PlayStation 4,327,327,"I started playing this game again on PS5. Graphically it’s amazing. Bring back all the feels from playing on the PS1. The load times a vastly improved over playing on a PS4. Especially playing with friends locally.  However, the game just isn’t enjoy playing locally by yourself. The difficultly is very frustrating not to mention the insane rubber banding the cpu characters get over you. If you hit one level hazard and or hit by the CPU you may as well restart the race - you have zero chance of winning.
I saw that the game will no longer be receiving future updates and that is a shame. Looks like the devs were only interested in the micro trans, sad.  This game probably would have been more successful if the game play was the priority.",4,2023-04-02,Jtubb,False
GhostWire: Tokyo,PC,127,127,"For a $60 asking price -> This is not worth $60, at all.
You can run through the game in about 5-6 hours.
The game is very simple, combat is simple, most gameplay consists of defeating the same enemy and picking up collectables. That's it.
For a full priced AAA game, this is not it! This is like a Ubisoft game with map makers and collectables and boring game in general.
Story is fine
Graphics are fine
Everything else is mediocre or worse.

If they just have asked $30 or $40, it would have made sense.",7,2022-03-28,Rallianto_Rex,False
Dragon Ball Z: Kakarot,PlayStation 4,406,406,This is the DBZ game that fans have always wanted. The combat feels very intuitive and captures the feel of fights on the show better than any DBZ game before has. The graphics look absolutely gorgeous. The original music and voice cast has been used. The only reason this game isn't getting a perfect 10 is because of some noticeable frame drops and a single crash that happened during the Saiyan saga.,9,2020-01-19,PeaTearGryfin,False
The Witcher 3: Wild Hunt - Hearts of Stone,PC,191,191,"Uma das melhores dlc que já joguei em um RPG na minha opinião, nunca vi algo igual em outros jogos.",10,2024-06-19,KarlosOliveira,False
Sid Meier's Civilization V,PC,597,500,"Настоятельно рекомендую к покупке. В общем-то, я не знаю чего можно написать о Циве такого, все знают, что такое Цива, но выделю моменты, которые мне НЕ понравились.

1. Боевые действия невыгодны.
Может я неправильно воюю, но куда проще нафармить злата и подружиться со всеми взятками и уступками, чем тратить деньги на армию, время не перекидывание войск и вообще все осуждают войну. Мой милитарист негодуетЪ

2. Убрали статистику в конце игры, а ту, что оставили, порезали до примитива и это весьма плохо!

3. Дипломатия здесь сводится к тому, кто больше заплатит. Можно, например, подкупить все города-государства на выборах ООН и победить в дипломатической победе, даже если вы будете страной-изгоем. Да и вообще, вся дипломатия тут -- один сплошной недостаток.

4. Долгие загрузки. Игра довольна стара и почему она так долго грузится -- мне не понятно.

5. Стратегический режим слишком громоздок, а некоторые значки неинформативны. В 6 с этим, вроде как, получше будет.

6. Шпионаж бесполезен(времени на воровство технологии нужно столько, что к тому моменту вы уже на 10 технологий вперед уйдете), а зачем нужна религия -- я так и не понял, ее единственная польза -- в закупках за очки веры. А, ну и возможность создать веру в Бога-Императора радует.

Если говорить в целом, то 4 часть мне нравилась больше. Может со временем, я смогу снова запустить Циву5 и наконец-то распробую ее сполна и тогда начну ее любить, но пока что 4 лучше. Но это не значит, что пятую часть нужно проигнорировать -- в пятой части много интересных фишек, как то новая система войск или ""артефактов"", которая позволяет создать страну-""курорт"". А учитывая низкую цену игры -- то сомнений быть не должно, надо поиграть.",7,2017-03-15,VoxMare,False
Marvel's Spider-Man,PlayStation 4,2610,500,"Haiku Review: Swinging is awesome / There's not much to dislike / A real tour de force
Favorite Thing: Web slinging is definitely the most enjoyable method of travel I've come across in any game.
Least Favorite Thing: The MJ/Miles sneaking sequences were a bore.

Date Completed: 2018-09-25
Playtime: 25h
Enjoyment: 9/10
Recommendation: Play it!",9,2018-09-27,Mandulum,False
Xenoblade Chronicles X,Wii U,317,317,best rpg of the year and one of the best video game soundtracks i have heard in ages the combat is deep and engaging. the world is one the most interesting and unique world i have ever been in and it truly feels full and alive. although story isn't as involved as in the original it still resonates with me on a primal level like that of fallout 4s  best post apocalyptic rpg of 2015 hands down.,10,2015-12-06,tacoman3725,False
Transistor,PC,150,150,Amazing in every way. Playthrough was intense and engaging. There's a perfect blend of mystery and answers. The havens give you a chance to breathe and as with Bastion the story and art and music make the game something masterful and beautiful. The ending is something I will remember always.,10,2015-05-09,Amandaklop,False
Celeste,Nintendo Switch,401,401,"This game is a perfect balance between good gameplay and outstanding aesthetics. I finished it with 2600 deaths but I can guarantee you that I didn't raged any time, it is worth it, the message the game sends is very beautiful, i recommend it",10,2023-03-30,AFCVentura,False
Fallout: New Vegas,PC,1064,500,"I don't see improvements since time Fallout 3, but it's not bad - new Vegas is whole beach you can spend 100 + hours. It's not emotionally engaging as few others RPG's, but might give you interesting story if you let for this.",7,2011-09-17,laxleonidas,False
Team Fortress 2,PC,1151,500,"This game is amazing. I can't believe this game is so great, and it's only multiplayer. And the best part is that it's FREE! Sure, there are some people who buy the more advanced weapons, but cool thing is that you can earn the weapons. Unlike TDP4. This game is amazing.",9,2013-01-09,TheGamer31,False
God of War: Ragnarok,PlayStation 5,4624,500,"Game of the Year for me personally. Loved the GOW 2018 so much and thought this could not live up to it.

Man, I was wrong,

Note: User reviews mean nothing, there are people who will give it 0-6 because of biases. Do not rely on user reviews. Try it yourself to experience greatness.",10,2022-11-10,SamratGunner,False
Sonic Colors,Wii,231,231,"I have nothing to say other than the fact that the soundtrack is insane!! Is the reason why I love this game along with its amazing levels and arts. It has been part of my childhood since I have played this on the Wii years ago, and yes it isn't the best sonic game. But it has such an EPIC soundtrack! ""Reach for the Stars"" for example, is one of my favorite sonic soundtracks ever! Thank you SEGA for this great game! 9/10",9,2023-08-07,Combatking42,False
Mario Kart 7,3DS,268,268,"Mario Kart 7 is a fantastic addition to the series, but the only real downfall is that I can't play it on a bigger screen. It's a fun game, even has online functionality, but playing on my 3DS gets painful due to the button layout being so close to the edge for the acceleration.",9,2019-04-19,sitebender,False
INSIDE,Xbox One,151,151,I got stuck after 30 minutes. I know I could search for help in the internet but as I borrowed this game and I feel this is not my kind of game I just quited. Nice atmosphere though.,6,2023-10-22,Empyrea,False
Borderlands 3,PlayStation 4,650,500,I really cant understand all the 0 reviews. Borderlands 3 sticks to the old Borderlands Formula and brings nice little twists to the table (like changing Fire Mode or salvaging Vehicle Parts for Ellie) I‘m glad they didnt try to do something entirely new; I mean look at AAA Games these Days.. If you had fun with Borderlands 2 you will definitely enjoy Borderlands 3 (I‘m Not having performance issues btw; using standard Ps4),9,2019-09-15,JoniMeloni,False
Final Fantasy XIV Online: A Realm Reborn,PlayStation 4,105,105,"Wonderful MMORPG!  2 points off for the frustration involved in signing up and the immense amount of gold spammers on the servers.  The developers need to enact more effective methods to prevent these accounts from continuously sending you spam messages.  Other than that, a really great game with an awesome story (a rarity among MMOs)",8,2014-06-03,Malprodigy,False
Metro Exodus,PC,1307,500,"Отличная игра!

+ Атмосфера
+Графика
+Геймплей

Всё на уровне! 10/10
Сам хоть игру и не ждал но оказался приятно удивлён, мне понравилось!
Не стоит слушать тех кому просто не нравится epic games.",10,2019-02-16,Ykisl,False
Red Dead Redemption,Xbox 360,536,500,"RED DEAD REDEMPTION is one of the best open world games ever made and defenetly the best Western game, i RDR has Top voice acting especially the Protagonist John Marston and the graphics are amazing, the story too! RDR has emotional moments that are just so powerful between each character, 9/10.",9,2013-01-03,PatrykG,False
The Walking Dead: Survival Instinct,PC,69,69,"Yes, this game is a mess, and it was rushed out so it could be bought by YOU, and to take advantage **** fanbase, the Walking Dead fanbase.
So is this game worth it? (short answer: NO).
The graphics are awful... 2006 standarts, acctualy some of the zombie models look like the models from resident evil 1 REMAKE for the GAMECUBE.
The sound is BLHAW... Too basic, the sound effects are sometimes enjoyable.
The gameplay, brings something new to the table, you have a fairly deccent item manager, you can gather supplies which is pretty cool, and you can get survivor for your group.
So yeah, Is this worth 50$? Nope! Stay away from this game, only get it if its all patched.",5,2013-03-24,Awesomegamer7,False
ARMS,Nintendo Switch,173,173,"The Good: New IP's from Nintendo are always good, fresh take on the fighting genre, a wide range of interesting fighters and stages, a large array of arms to unlock, combat is easy to learn/hard to master -  lots of depth in combat, online connection solid - have never been disconnected from a game.

The Bad: Motion controls are a hit or a miss, lack of variety in game modes - can get boring after a while

Other Notes: The series ARMS has a lot of things going for it. A great cast of fighters, an interesting twist on the fighting genre, good depth with the combat. However, there isn't that much you can do with it. Single play mode has you fight against CPU's in the same style you would when online, and there aren't much online modes, and the ones which are there don't feel engaging enough. Hopefully they continue the series, and build on what they have done in the next game, because there is so much potential to be found.",6,2020-01-19,jiorl,False
Fall Guys,PC,201,201,Fall guys is a fantastic game all but ruined by a complete lack of cheat detection.,2,2020-09-03,austenite,False
Star Wars: Knights of the Old Republic,PC,303,303,"This game is awesome, i remember picking it up 2003 and not even knowing what I was getting it. Probably the best gaming experience possible. The story is great, characters, quests, gearing up, all systems engage witch each other. Better than Kotor 2.",10,2019-05-26,xcxvy,False
Brink,Xbox 360,199,199,"+Good character customization
-Awkward movement/controls
-Poor single player
-Not really much content
-Spotty online play

Again I am disappointed by a FPS that promises to change the way we play them. I will say that I tend to play mostly single player games, but I have a soft spot for online FPS. Unfortunately, in Brink S/P and M/P are the same game, seriously. Once again I was hoping for Borderlands and was severely let down, this isn't even Black Ops. If you really, really enjoy FPS Kill/Die/Respawn/Repeat mayhem, then this is for you. I however, I don't really, but at least L.A. Noir is out next week.",6,2011-05-10,MajorTomTGC,False
Pokemon Ultra Moon,3DS,142,142,"Not only this game improve in all that Sun and Moon versions from the previous year created, but it also has a much better post-game, with a lot more (and better) to do, from catching legends, to exploring new worlds, to a whole new plotline that didn't even existed in Sun/Moon yet, to many returning characters from all previous games (not just Sun/Moon) making this one of the best pokemon games in the franchise many years.",10,2018-03-01,SSJSSKuririn,False
Resident Evil 6,Xbox 360,457,457,"BIG SIGH CAPCOM, are you happy now? You have your BIG **** ACTION GAME, good job. Im sure you made every 12 year old cream their pants for you exploding helicopters and roundhouse kicking zombies in the face, who cares if you killed the mood with your nonstop ""crank it to 'leven"" shenanigans, the disjointed, frankly STUPID storytelling, the plain jane boring ass characters, makes me want to grab you by the collar, slam your head  against the ceiling and spit/shout in your corrupted face. **** YOU",0,2012-10-03,bronyexecution,False
